,ConnectiveAdditiveIncidence,ConnectiveCasualIncidence,ConnectiveIncidence,ConnectiveLogicIncidence,ConnectiveTemporalIncidence,ContentDiversty,LexicalDiversty,LogicAndIncidence,LogicIfIncidence,LogicNegationIncidence,LogicOperatorsIncidence,LogicOrIncidence,adjectiveIncidence,adpPronRatio,advIncidence,avg_syllables_per_word,avg_word_per_sentence,contentIncidence,functionalIncidence,mean_sentence_length,mean_word_length,median_sentence_length,median_word_length,nounIncidence,percentile_25_sentence_length,percentile_25_word_length,percentile_50_sentence_length,percentile_50_word_length,percentile_75_sentence_length,percentile_75_word_length,percentile_90_sentence_length,percentile_90_word_length,pronIncidence,redability,sentence_count,sentence_sized_30,syllable_count,verbIncidence,word_count
13,0.0,0.0,20.6896551724,0.0,0.0,0.828571428571,0.648275862069,0.0,0.0,0.0,0.0,0.0,55.1724137931,0.113636363636,13.7931034483,2.30344827586,24.1666666667,482.75862069,386.206896552,28.0,2.02424242424,32.0,32.0,351.724137931,22.5,0.0,32.0,2.0,35.5,3.0,36.5,5.0,30.303030303,21.0,6,50,334,62.0689655172,145
14,0.0,10.7238605898,63.0026809651,0.0,10.7238605898,0.647214854111,0.469168900804,0.0,0.0,9.38337801609,9.38337801609,0.0,69.7050938338,0.233532934132,26.8096514745,2.2654155496,33.9090909091,505.361930295,410.18766756,38.2727272727,1.97429906542,35.5,35.5,313.672922252,23.25,0.0,35.5,2.0,44.0,3.0,59.7,4.0,45.5607476636,24.4,22,54,1690,95.1742627346,746
15,0.0,2.95857988166,53.2544378698,0.0,2.95857988166,0.733333333333,0.523668639053,0.0,0.0,5.91715976331,5.91715976331,0.0,56.2130177515,0.127906976744,8.87573964497,2.35798816568,42.25,532.544378698,399.408284024,47.625,2.09186351706,40.5,40.5,405.325443787,29.0,0.0,40.5,2.0,59.25,3.0,72.3,5.0,28.8713910761,28.7,8,62,797,62.1301775148,338
16,0.0,3.23624595469,44.2286947141,0.0,3.23624595469,0.635220125786,0.464940668824,0.0,0.0,7.55124056095,7.55124056095,0.0,89.5361380798,0.299516908213,26.9687162891,2.45954692557,31.9655172414,514.563106796,392.664509169,36.4827586207,2.11895910781,34.0,34.0,295.577130529,28.0,1.0,34.0,2.0,44.0,3.0,54.4,5.0,57.6208178439,25.9,29,62,2280,104.638619202,927
17,0.0,15.0517403575,56.4440263405,0.0,15.0517403575,0.471042471042,0.325023518344,0.0,0.0,16.462841016,16.462841016,0.0,64.4402634055,0.268244575937,28.6923800564,2.05032925682,40.1132075472,487.300094073,412.982126058,46.1886792453,1.77195121951,44.0,44.0,313.734713076,26.0,0.0,44.0,2.0,55.0,3.0,71.8,4.0,55.2845528455,24.2,53,71,4359,80.9031044214,2126
18,0.0,7.29166666667,52.0833333333,0.0,7.29166666667,0.686159844055,0.465625,0.0,0.0,5.20833333333,5.20833333333,0.0,86.4583333333,0.422680412371,43.75,2.42083333333,41.7391304348,534.375,411.458333333,47.6086956522,2.04038630378,51.0,51.0,298.958333333,33.0,0.0,51.0,2.0,63.0,3.0,69.6,5.0,71.992976295,29.3,23,78,2324,105.208333333,960
19,0.0,2.51889168766,57.9345088161,0.0,2.51889168766,0.583198707593,0.409739714526,0.0,0.0,10.0755667506,10.0755667506,0.0,64.6515533165,0.338582677165,29.3870696893,2.25944584383,36.0909090909,519.73131822,394.6263644,41.4545454545,1.93457943925,37.0,37.0,296.389588581,24.0,0.0,37.0,2.0,53.0,3.0,65.0,5.0,61.8260244428,25.1,33,63,2691,129.303106633,1191
20,0.0,8.50340136054,62.925170068,0.0,8.50340136054,0.687707641196,0.482993197279,0.0,0.0,8.50340136054,8.50340136054,0.0,49.3197278912,0.255319148936,20.4081632653,2.54931972789,36.75,511.904761905,426.870748299,40.625,2.22734026746,40.5,40.5,311.224489796,30.75,1.0,40.5,2.0,52.0,4.0,59.0,5.0,53.4918276374,28.8,16,75,1499,130.952380952,588
21,0.0,8.75656742557,49.0367775832,0.0,8.75656742557,0.621993127148,0.453590192644,0.0,0.0,14.0105078809,14.0105078809,0.0,66.5499124343,0.190789473684,17.5131348511,2.33800350263,38.0666666667,509.632224168,420.315236427,42.5333333333,2.0859375,33.0,33.0,330.998248687,23.0,1.0,33.0,2.0,50.5,3.0,72.2,4.0,45.3125,26.8,15,66,1335,94.5709281961,571
22,0.0,10.8499095841,41.5913200723,0.0,10.8499095841,0.625,0.471971066908,0.0,0.0,1.80831826401,1.80831826401,0.0,68.7160940325,0.140845070423,16.2748643761,2.37613019892,30.7222222222,491.862567812,392.405063291,34.0,2.11935483871,36.0,36.0,336.347197107,25.5,1.0,36.0,2.0,39.75,3.0,46.9,5.0,32.2580645161,24.4,18,66,1314,70.5244122966,553
